year,volume,first,last,doi
1946,1,30,,10.2307/4109087
1946,1,97,,10.2307/4109291
1946,1,4,,10.2307/4109084
1946,1,46,,10.2307/4109090
1946,1,44,,10.2307/4109089
1946,1,31,,10.2307/4109088
1946,1,88,,10.2307/4109289
1946,1,87,,10.2307/4109288
1946,1,49,,10.2307/4109286
1946,1,5,,10.2307/4109085
1946,1,29,,10.2307/4109086
1946,1,89,,10.2307/4109290
1946,1,107,,10.2307/4109292
1946,1,51,,10.2307/4109287
1947,2,9,,10.2307/4109491
1947,2,38,,10.2307/4109497
1947,2,134,,10.2307/4109212
1947,2,106,,10.2307/4109207
1947,2,87,,10.2307/4109508
1947,2,17,,10.2307/4109492
1947,2,135,,10.2307/4109213
1947,2,75,,10.2307/4109507
1947,2,139,,10.2307/4109216
1947,2,43,,10.2307/4109499
1947,2,39,,10.2307/4109498
1947,2,46,,10.2307/4109500
1947,2,53,,10.2307/4109502
1947,2,122,,10.2307/4109210
1947,2,123,,10.2307/4109211
1947,2,67,,10.2307/4109505
1947,2,138,,10.2307/4109215
1947,2,35,,10.2307/4109495
1947,2,22,,10.2307/4109493
1947,2,137,,10.2307/4109214
1947,2,97,,10.2307/4109206
1947,2,23,,10.2307/4109494
1947,2,47,,10.2307/4109501
1947,2,118,,10.2307/4109208
1947,2,119,,10.2307/4109209
1947,2,8,,10.2307/4109490
1947,2,74,,10.2307/4109506
1947,2,64,,10.2307/4109504
1948,3,373,,10.2307/4108845
1948,3,74,,10.2307/4118927
1948,3,57,,10.2307/4118920
1948,3,186,,10.2307/4119759
1948,3,499,,10.2307/4108860
1948,3,183,,10.2307/4119758
1948,3,485,,10.2307/4108854
1948,3,188,,10.2307/4119761
1948,3,303,,10.2307/4119775
1948,3,498,,10.2307/4108858
1948,3,113,,10.2307/4118934
1948,3,363,,10.2307/4108841
1948,3,67,,10.2307/4118923
1948,3,474,,10.2307/4108850
1948,3,329,,10.2307/4108838
1948,3,76,,10.2307/4118928
1948,3,163,,10.2307/4119753
1948,3,237,,10.2307/4119766
1948,3,328,,10.2307/4108837
1948,3,45,,10.2307/4118914
1948,3,248,,10.2307/4119768
1948,3,47,,10.2307/4118916
1948,3,158,,10.2307/4119751
1948,3,236,,10.2307/4119765
1948,3,109,,10.2307/4118932
1948,3,11,,10.2307/4118908
1948,3,191,,10.2307/4119762
1948,3,498,,10.2307/4108859
1948,3,448,,10.2307/4108848
1948,3,124,,10.2307/4118935
1948,3,125,,10.2307/4118936
1948,3,107,,10.2307/4118931
1948,3,500,,10.2307/4108861
1948,3,154,,10.2307/4119750
1948,3,229,,10.2307/4119763
1948,3,77,,10.2307/4118929
1948,3,172,,10.2307/4119755
1948,3,111,,10.2307/4118933
1948,3,372,,10.2307/4108844
1948,3,55,,10.2307/4118919
1948,3,501,,10.2307/4108862
1948,3,264,,10.2307/4119772
1948,3,68,,10.2307/4118924
1948,3,172,,10.2307/4119756
1948,3,69,,10.2307/4118925
1948,3,187,,10.2307/4119760
1948,3,325,,10.2307/4108836
1948,3,145,,10.2307/4119749
1948,3,17,,10.2307/4118909
1948,3,358,,10.2307/4108840
1948,3,445,,10.2307/4108847
1948,3,492,,10.2307/4108855
1948,3,138,,10.2307/4118937
1948,3,251,,10.2307/4119769
1948,3,51,,10.2307/4118917
1948,3,66,,10.2307/4118922
1948,3,475,,10.2307/4108851
1948,3,65,,10.2307/4118921
1948,3,29,,10.2307/4118910
1948,3,375,,10.2307/4108846
1948,3,54,,10.2307/4118918
1948,3,253,,10.2307/4119771
1948,3,350,,10.2307/4108839
1948,3,42,,10.2307/4118912
1948,3,495,,10.2307/4108857
1948,3,171,,10.2307/4119754
1948,3,493,,10.2307/4108856
1948,3,45,,10.2307/4118915
1948,3,449,,10.2307/4108849
1948,3,277,,10.2307/4119774
1948,3,368,,10.2307/4108842
1948,3,244,,10.2307/4119767
1948,3,276,,10.2307/4119773
1948,3,236,,10.2307/4119764
1948,3,173,,10.2307/4119757
1948,3,162,,10.2307/4119752
1948,3,43,,10.2307/4118913
1948,3,484,,10.2307/4108853
1948,3,104,,10.2307/4118930
1948,3,369,,10.2307/4108843
1948,3,252,,10.2307/4119770
1948,3,483,,10.2307/4108852
1948,3,33,,10.2307/4118911
1948,3,73,,10.2307/4118926
1948,3,323,,10.2307/4108835
1949,4,474,,10.2307/4109058
1949,4,23,,10.2307/4119030
1949,4,481,,10.2307/4109061
