year,volume,first,last,doi
1949,4,139,,10.2307/4113665
1949,4,568,,10.2307/4109077
1949,4,38,,10.2307/4119038
1949,4,267,,10.2307/4109189
1949,4,461,,10.2307/4109055
1949,4,264,,10.2307/4113690
1949,4,71,,10.2307/4119044
1949,4,238,,10.2307/4113684
1949,4,175,,10.2307/4113676
1949,4,153,,10.2307/4113670
1949,4,557,,10.2307/4109071
1949,4,339,,10.2307/4109196
1949,4,253,,10.2307/4113689
1949,4,135,,10.2307/4113663
1949,4,240,,10.2307/4113686
1949,4,463,,10.2307/4109057
1949,4,573,,10.2307/4109080
1949,4,341,,10.2307/4109198
1949,4,41,,10.2307/4119040
1949,4,33,,10.2307/4119035
1949,4,166,,10.2307/4113673
1949,4,69,,10.2307/4119043
1949,4,176,,10.2307/4113677
1949,4,318,,10.2307/4109194
1949,4,239,,10.2307/4113685
1949,4,308,,10.2307/4109191
1949,4,475,,10.2307/4109059
1949,4,553,,10.2307/4109067
1949,4,157,,10.2307/4113672
1949,4,127,,10.2307/4119052
1949,4,319,,10.2307/4109195
1949,4,495,,10.2307/4109063
1949,4,133,,10.2307/4113662
1949,4,569,,10.2307/4109078
1949,4,147,,10.2307/4113669
1949,4,309,,10.2307/4109192
1949,4,140,,10.2307/4113666
1949,4,452,,10.2307/4109053
1949,4,231,,10.2307/4113683
1949,4,251,,10.2307/4113687
1949,4,67,,10.2307/4119042
1949,4,24,,10.2307/4119031
1949,4,515,,10.2307/4109065
1949,4,252,,10.2307/4113688
1949,4,126,,10.2307/4119051
1949,4,128,,10.2307/4119053
1949,4,36,,10.2307/4119036
1949,4,377,,10.2307/4109199
1949,4,265,,10.2307/4109188
1949,4,445,,10.2307/4109051
1949,4,387,,10.2307/4109201
1949,4,517,,10.2307/4109066
1949,4,155,,10.2307/4113671
1949,4,137,,10.2307/4113664
1949,4,561,,10.2307/4109073
1949,4,28,,10.2307/4119032
1949,4,565,,10.2307/4109076
1949,4,215,,10.2307/4113679
1949,4,393,,10.2307/4109202
1949,4,145,,10.2307/4113667
1949,4,117,,10.2307/4119049
1949,4,273,,10.2307/4109190
1949,4,66,,10.2307/4119041
1949,4,225,,10.2307/4113682
1949,4,179,,10.2307/4113678
1949,4,444,,10.2307/4109204
1949,4,115,,10.2307/4119047
1949,4,556,,10.2307/4109070
1949,4,37,,10.2307/4119037
1949,4,146,,10.2307/4113668
1949,4,311,,10.2307/4109193
1949,4,563,,10.2307/4109075
1949,4,223,,10.2307/4113681
1949,4,450,,10.2307/4109052
1949,4,146,,10.2307/4113668
1949,4,497,,10.2307/4109064
1949,4,129,,10.2307/4119054
1949,4,132,,10.2307/4119055
1949,4,427,,10.2307/4109203
1949,4,22,,10.2307/4119029
1949,4,29,,10.2307/4119033
1949,4,494,,10.2307/4109062
1949,4,378,,10.2307/4109200
1949,4,116,,10.2307/4119048
1949,4,453,,10.2307/4109054
1949,4,554,,10.2307/4109068
1949,4,95,,10.2307/4119045
1949,4,560,,10.2307/4109072
1949,4,480,,10.2307/4109060
1949,4,462,,10.2307/4109056
1949,4,97,,10.2307/4119046
1949,4,125,,10.2307/4119050
1949,4,571,,10.2307/4109079
1949,4,222,,10.2307/4113680
1949,4,40,,10.2307/4119039
1949,4,167,,10.2307/4113674
1949,4,172,,10.2307/4113675
1949,4,32,,10.2307/4119034
1950,5,391,,10.2307/4109431
1950,5,136,,10.2307/4119829
1950,5,33,,10.2307/4119820
1950,5,170,,10.2307/4117220
1950,5,165,,10.2307/4117219
1950,5,435,,10.2307/4109442
1950,5,406,,10.2307/4109432
1950,5,389,,10.2307/4109428
1950,5,423,,10.2307/4109438
1950,5,210,,10.2307/4117227
1950,5,262,,10.2307/4117240
1950,5,441,,10.2307/4109444
1950,5,334,,10.2307/4109424
1950,5,150,,10.2307/4119833
1950,5,264,,10.2307/4117242
1950,5,164,,10.2307/4117218
1950,5,155,,10.2307/4117214
1950,5,227,,10.2307/4117229
1950,5,132,,10.2307/4119827
1950,5,318,,10.2307/4109420
1950,5,128,,10.2307/4119825
1950,5,32,,10.2307/4119819
1950,5,431,,10.2307/4109440
1950,5,245,,10.2307/4117232
1950,5,390,,10.2307/4109430
1950,5,460,,10.2307/4109445
1950,5,425,,10.2307/4109439
1950,5,28,,10.2307/4119817
1950,5,261,,10.2307/4117238
1950,5,189,,10.2307/4117223
1950,5,156,,10.2307/4117215
1950,5,258,,10.2307/4117235
1950,5,390,,10.2307/4109429
1950,5,422,,10.2307/4109437
1950,5,138,,10.2307/4119831
1950,5,263,,10.2307/4117241
1950,5,29,,10.2307/4119818
1950,5,35,,10.2307/4119822
1950,5,34,,10.2307/4119821
1950,5,210,,10.2307/4117226
1950,5,164,,10.2307/4117217
1950,5,157,,10.2307/4117216
1950,5,255,,10.2307/4117233
1950,5,133,,10.2307/4119828
1950,5,147,,10.2307/4119832
1950,5,299,,10.2307/4109419
1950,5,335,,10.2307/4109425
1950,5,187,,10.2307/4117222
1950,5,171,,10.2307/4117221
1950,5,434,,10.2307/4109441
1950,5,440,,10.2307/4109443
1950,5,273,,10.2307/4117245
1950,5,321,,10.2307/4109422
1950,5,261,,10.2307/4117239
1950,5,232,,10.2307/4117230
1950,5,419,,10.2307/4109436
1950,5,209,,10.2307/4117225
1950,5,266,,10.2307/4117243
1950,5,233,,10.2307/4117231
1950,5,385,,10.2307/4109426
1950,5,27,,10.2307/4119816
1950,5,152,,10.2307/4117213
1950,5,257,,10.2307/4117234
1950,5,417,,10.2307/4109434
1950,5,267,,10.2307/4117244
1950,5,211,,10.2307/4117228
1950,5,127,,10.2307/4119824
1950,5,151,,10.2307/4117212
1950,5,209,,10.2307/4117224
1950,5,319,,10.2307/4109421
1950,5,26,,10.2307/4119815
1950,5,137,,10.2307/4119830
1950,5,418,,10.2307/4109435
1950,5,123,,10.2307/4119823
1950,5,259,,10.2307/4117236
1950,5,129,,10.2307/4119826
1950,5,407,,10.2307/4109433
1951,6,377,,10.2307/4118010
1951,6,380,,10.2307/4118011
1951,6,302,,10.2307/4120608
1951,6,475,,10.2307/4118031
1951,6,306,,10.2307/4120613
1951,6,386,,10.2307/4118014
1951,6,423,,10.2307/4118021
1951,6,147,,10.2307/4120586
1951,6,427,,10.2307/4118022
1951,6,293,,10.2307/4120604
1951,6,122,,10.2307/4120292
1951,6,385,,10.2307/4118013
1951,6,323,,10.2307/4117997
1951,6,192,,10.2307/4120599
1951,6,152,,10.2307/4120591
1951,6,319,,10.2307/4117994
1951,6,300,,10.2307/4120606
1951,6,445,,10.2307/4118025
1951,6,63,,10.2307/4120290
1951,6,210,,10.2307/4120601
1951,6,370,,10.2307/4118005
1951,6,370,,10.2307/4118006
1951,6,41,,10.2307/4120282
1951,6,301,,10.2307/4120607
1951,6,303,,10.2307/4120610
1951,6,145,,10.2307/4120585
1951,6,164,,10.2307/4120593
1951,6,133,,10.2307/4120295
1951,6,152,,10.2307/4120590
1951,6,153,,10.2307/4120592
1951,6,132,,10.2307/4120294
1951,6,460,,10.2307/4118029
1951,6,302,,10.2307/4120609
1951,6,171,,10.2307/4120595
1951,6,459,,10.2307/4118028
1951,6,376,,10.2307/4118009
1951,6,27,,10.2307/4120273
1951,6,180,,10.2307/4120596
1951,6,327,,10.2307/4118000
1951,6,461,,10.2307/4118030
1951,6,38,,10.2307/4120280
1951,6,321,,10.2307/4117995
1951,6,33,,10.2307/4120279
1951,6,50,,10.2307/4120284
1951,6,305,,10.2307/4120612
1951,6,443,,10.2307/4118024
1951,6,422,,10.2307/4118020
1951,6,196,,10.2307/4120600
1951,6,148,,10.2307/4120587
1951,6,181,,10.2307/4120597
1951,6,419,,10.2307/4118019
1951,6,453,,10.2307/4118026
1951,6,40,,10.2307/4120281
1951,6,62,,10.2307/4120289
1951,6,138,,10.2307/4120296
1951,6,43,,10.2307/4120283
1951,6,31,,10.2307/4120278
1951,6,28,,10.2307/4120276
1951,6,166,,10.2307/4120594
1951,6,149,,10.2307/4120589
1951,6,381,,10.2307/4118012
1951,6,371,,10.2307/4118007
1951,6,455,,10.2307/4118027
1951,6,322,,10.2307/4117996
1951,6,148,,10.2307/4120588
1951,6,369,,10.2307/4118004
1951,6,186,,10.2307/4120598
1951,6,293,,10.2307/4120603
1951,6,27,,10.2307/4120274
1951,6,347,,10.2307/4118001
1951,6,307,,10.2307/4120614
1951,6,62,,10.2307/4120288
1951,6,121,,10.2307/4120291
1951,6,349,,10.2307/4118002
1951,6,28,,10.2307/4120275
1951,6,309,,10.2307/4117992
1951,6,29,,10.2307/4120277
1951,6,351,,10.2307/4118003
1951,6,290,,10.2307/4120602
1951,6,140,,10.2307/4120298
1951,6,53,,10.2307/4120287
1951,6,297,,10.2307/4120605
1951,6,139,,10.2307/4120297
1951,6,375,,10.2307/4118008
1951,6,304,,10.2307/4120611
1951,6,387,,10.2307/4118015
1951,6,411,,10.2307/4118017
1951,6,437,,10.2307/4118023
1951,6,324,,10.2307/4117998
1951,6,417,,10.2307/4118018
1951,6,410,,10.2307/4118016
1951,6,52,,10.2307/4120286
1951,6,325,,10.2307/4117999
1951,6,123,,10.2307/4120293
1952,7,291,,10.2307/4109327
1952,7,289,,10.2307/4109326
1952,7,73,,10.2307/4117668
1952,7,273,,10.2307/4109279
1952,7,365,,10.2307/4109341
1952,7,324,,10.2307/4109337
1952,7,29,,10.2307/4117654
1952,7,244,,10.2307/4109269
1952,7,41,,10.2307/4117656
1952,7,457,,10.2307/4117799
1952,7,72,,10.2307/4117667
1952,7,83,,10.2307/4117672
1952,7,44,,10.2307/4117658
1952,7,133,,10.2307/4117681
1952,7,101,,10.2307/4117676
1952,7,367,,10.2307/4109342
1952,7,167,,10.2307/4109258
1952,7,539,,10.2307/4117807
1952,7,179,,10.2307/4109261
1952,7,130,,10.2307/4117679
1952,7,506,,10.2307/4117803
1952,7,225,,10.2307/4109265
1952,7,353,,10.2307/4109340
1952,7,439,,10.2307/4109347
1952,7,501,,10.2307/4117802
1952,7,548,,10.2307/4117810
1952,7,137,,10.2307/4109254
1952,7,147,,10.2307/4109255
1952,7,208,,10.2307/4109262
1952,7,149,,10.2307/4109256
1952,7,333,,10.2307/4109339
1952,7,538,,10.2307/4117806
1952,7,553,,10.2307/4117812
1952,7,82,,10.2307/4117671
1952,7,303,,10.2307/4109331
1952,7,321,,10.2307/4109335
1952,7,249,,10.2307/4109272
1952,7,65,,10.2307/4117661
1952,7,247,,10.2307/4109271
1952,7,75,,10.2307/4117669
1952,7,277,,10.2307/4109280
1952,7,227,,10.2307/4109266
1952,7,261,,10.2307/4109276
1952,7,507,,10.2307/4117804
1952,7,45,,10.2307/4117659
1952,7,131,,10.2307/4117680
1952,7,252,,10.2307/4109274
1952,7,236,,10.2307/4109267
1952,7,66,,10.2307/4117662
1952,7,269,,10.2307/4109277
1952,7,317,,10.2307/4109334
1952,7,40,,10.2307/4117655
1952,7,255,,10.2307/4109275
1952,7,440,,10.2307/4109348
1952,7,271,,10.2307/4109278
1952,7,541,,10.2307/4117808
1952,7,61,,10.2307/4117660
1952,7,295,,10.2307/4109329
1952,7,441,,10.2307/4117798
1952,7,549,,10.2307/4117811
1952,7,98,,10.2307/4117675
1952,7,500,,10.2307/4117801
1952,7,324,,10.2307/4109336
1952,7,282,,10.2307/4109282
1952,7,67,,10.2307/4117663
1952,7,223,,10.2307/4109264
1952,7,301,,10.2307/4109330
1952,7,283,,10.2307/4109283
1952,7,165,,10.2307/4109257
1952,7,427,,10.2307/4109344
1952,7,285,,10.2307/4109324
1952,7,280,,10.2307/4109281
1952,7,69,,10.2307/4117665
1952,7,116,,10.2307/4117677
1952,7,325,,10.2307/4109338
1952,7,117,,10.2307/4117678
1952,7,538,,10.2307/4117805
1952,7,44,,10.2307/4117657
1952,7,87,,10.2307/4117674
1952,7,309,,10.2307/4109333
1952,7,284,,10.2307/4109284
1952,7,209,,10.2307/4109263
1952,7,251,,10.2307/4109273
1952,7,81,,10.2307/4117670
1952,7,68,,10.2307/4117664
1952,7,136,,10.2307/4117682
1952,7,543,,10.2307/4117809
1952,7,459,,10.2307/4117800
1952,7,307,,10.2307/4109332
1952,7,171,,10.2307/4109259
1952,7,175,,10.2307/4109260
1952,7,71,,10.2307/4117666
1952,7,294,,10.2307/4109328
1952,7,405,,10.2307/4109343
1952,7,84,,10.2307/4117673
1952,7,288,,10.2307/4109325
1952,7,437,,10.2307/4109345
1952,7,237,,10.2307/4109268
1952,7,245,,10.2307/4109270
1953,8,546,,10.2307/4117372
1953,8,49,,10.2307/4117156
1953,8,172,,10.2307/4117170
1953,8,431,,10.2307/4115535
1953,8,293,,10.2307/4109318
1953,8,430,,10.2307/4115533
1953,8,451,,10.2307/4117347
1953,8,184,,10.2307/4117172
1953,8,484,,10.2307/4117348
1953,8,450,,10.2307/4115540
1953,8,230,,10.2307/4109299
1953,8,291,,10.2307/4109317
1953,8,82,,10.2307/4117162
1953,8,404,,10.2307/4115526
1953,8,173,,10.2307/4117171
1953,8,564,,10.2307/4117378
1953,8,592,,10.2307/4117389
1953,8,535,,10.2307/4117368
1953,8,69,,10.2307/4117161
1953,8,593,,10.2307/4117390
1953,8,249,,10.2307/4109304
1953,8,281,,10.2307/4109313
1953,8,487,,10.2307/4117351
1953,8,499,,10.2307/4117356
1953,8,163,,10.2307/4117169
1953,8,370,,10.2307/4115520
1953,8,449,,10.2307/4115538
1953,8,511,,10.2307/4117363
1953,8,501,,10.2307/4117359
1953,8,565,,10.2307/4117380
1953,8,545,,10.2307/4117371
1953,8,417,,10.2307/4115530
1953,8,363,,10.2307/4115519
1953,8,567,,10.2307/4117381
1953,8,506,,10.2307/4117361
1953,8,189,,10.2307/4117174
1953,8,575,,10.2307/4117387
1953,8,50,,10.2307/4117157
1953,8,543,,10.2307/4117369
1953,8,571,,10.2307/4117384
1953,8,229,,10.2307/4109298
1953,8,574,,10.2307/4117386
1953,8,383,,10.2307/4115525
1953,8,299,,10.2307/4115516
1953,8,492,,10.2307/4117352
1953,8,373,,10.2307/4115523
1953,8,594,,10.2307/4117392
1953,8,239,,10.2307/4109302
1953,8,251,,10.2307/4109306
1953,8,207,,10.2307/4109297
1953,8,276,,10.2307/4109310
1953,8,507,,10.2307/4117362
1953,8,506,,10.2307/4117360
1953,8,382,,10.2307/4115524
1953,8,286,,10.2307/4109315
1953,8,46,,10.2307/4117154
1953,8,238,,10.2307/4109301
1953,8,404,,10.2307/4115527
1953,8,569,,10.2307/4117383
1953,8,296,,10.2307/4109320
1953,8,298,,10.2307/4109323
1953,8,186,,10.2307/4117173
1953,8,205,,10.2307/4109296
1953,8,429,,10.2307/4115532
1953,8,191,,10.2307/4109295
1953,8,371,,10.2307/4115521
1953,8,296,,10.2307/4109321
1953,8,486,,10.2307/4117350
1953,8,129,,10.2307/4117167
1953,8,553,,10.2307/4117374
1953,8,128,,10.2307/4117166
1953,8,405,,10.2307/4115529
1953,8,544,,10.2307/4117370
1953,8,594,,10.2307/4117391
1953,8,573,,10.2307/4117385
1953,8,568,,10.2307/4117382
1953,8,67,,10.2307/4117159
1953,8,533,,10.2307/4117366
1953,8,68,,10.2307/4117160
1953,8,31,,10.2307/4117153
1953,8,554,,10.2307/4117376
1953,8,51,,10.2307/4117158
1953,8,121,,10.2307/4117164
1953,8,307,,10.2307/4115517
1953,8,554,,10.2307/4117375
1953,8,547,,10.2307/4117373
1953,8,493,,10.2307/4117353
1953,8,47,,10.2307/4117155
1953,8,429,,10.2307/4115531
1953,8,447,,10.2307/4115537
1953,8,450,,10.2307/4115539
1953,8,253,,10.2307/4109307
1953,8,513,,10.2307/4117364
1953,8,231,,10.2307/4109300
1953,8,496,,10.2307/4117354
1953,8,241,,10.2307/4109303
1953,8,430,,10.2307/4115534
1953,8,372,,10.2307/4115522
1953,8,534,,10.2307/4117367
1953,8,591,,10.2307/4117388
1953,8,446,,10.2307/4115536
1953,8,250,,10.2307/4109305
1953,8,268,,10.2307/4109308
1953,8,269,,10.2307/4109309
1953,8,297,,10.2307/4109322
1953,8,329,,10.2307/4115518
1953,8,404,,10.2307/4115528
1953,8,287,,10.2307/4109316
1953,8,485,,10.2307/4117349
1953,8,295,,10.2307/4109319
1953,8,555,,10.2307/4117377
1953,8,500,,10.2307/4117358
1953,8,532,,10.2307/4117365
1953,8,83,,10.2307/4117163
1953,8,497,,10.2307/4117355
1953,8,285,,10.2307/4109314
1953,8,565,,10.2307/4117379
1953,8,279,,10.2307/4109312
1953,8,277,,10.2307/4109311
1953,8,500,,10.2307/4117357
1953,8,127,,10.2307/4117165
1954,9,541,,10.2307/4114546
1954,9,450,,10.2307/4108821
1954,9,64,,10.2307/4108935
1954,9,562,,10.2307/4114555
1954,9,259,,10.2307/4114390
1954,9,423,,10.2307/4108814
1954,9,375,,10.2307/4114404
1954,9,503,,10.2307/4108833
1954,9,422,,10.2307/4108813
1954,9,263,,10.2307/4114393
1954,9,250,,10.2307/4114388
1954,9,533,,10.2307/4114542
1954,9,597,,10.2307/4114560
1954,9,43,,10.2307/4108925
1954,9,532,,10.2307/4114541
1954,9,497,,10.2307/4108832
1954,9,251,,10.2307/4114389
1954,9,460,,10.2307/4108825
1954,9,348,,10.2307/4114400
1954,9,83,,10.2307/4108940
1954,9,465,,10.2307/4108827
1954,9,56,,10.2307/4108931
1954,9,614,,10.2307/4114561
1954,9,59,,10.2307/4108934
1954,9,493,,10.2307/4108830
1954,9,44,,10.2307/4108926
1954,9,417,,10.2307/4108810
1954,9,453,,10.2307/4108824
1954,9,616,,10.2307/4114562
1954,9,241,,10.2307/4114386
1954,9,522,,10.2307/4114539
1954,9,85,,10.2307/4108943
1954,9,451,,10.2307/4108822
1954,9,349,,10.2307/4114401
1954,9,374,,10.2307/4114402
1954,9,466,,10.2307/4108828
1954,9,545,,10.2307/4114547
1954,9,51,,10.2307/4108930
1954,9,413,,10.2307/4108806
1954,9,555,,10.2307/4114549
1954,9,83,,10.2307/4108941
1954,9,422,,10.2307/4108812
1954,9,461,,10.2307/4108826
1954,9,421,,10.2307/4108811
1954,9,561,,10.2307/4114553
1954,9,540,,10.2307/4114545
1954,9,534,,10.2307/4114543
1954,9,67,,10.2307/4108936
1954,9,276,,10.2307/4114395
1954,9,48,,10.2307/4108928
1954,9,425,,10.2307/4108815
1954,9,262,,10.2307/4114392
1954,9,240,,10.2307/4114385
1954,9,416,,10.2307/4108809
1954,9,377,,10.2307/4108802
1954,9,559,,10.2307/4114552
1954,9,35,,10.2307/4108924
1954,9,200,,10.2307/4108944
1954,9,467,,10.2307/4108829
1954,9,505,,10.2307/4114536
1954,9,82,,10.2307/4108939
1954,9,594,,10.2307/4114559
1954,9,523,,10.2307/4114540
1954,9,374,,10.2307/4114403
1954,9,427,,10.2307/4108817
1954,9,49,,10.2307/4108929
1954,9,415,,10.2307/4108808
1954,9,289,,10.2307/4114399
1954,9,58,,10.2307/4108933
1954,9,452,,10.2307/4108823
1954,9,516,,10.2307/4114537
1954,9,410,,10.2307/4108803
1954,9,277,,10.2307/4114396
1954,9,279,,10.2307/4114398
1954,9,375,,10.2307/4114405
1954,9,57,,10.2307/4108932
1954,9,84,,10.2307/4108942
1954,9,276,,10.2307/4114394
1954,9,278,,10.2307/4114397
1954,9,548,,10.2307/4114548
1954,9,33,,10.2307/4108921
1954,9,443,,10.2307/4108820
1954,9,441,,10.2307/4108819
1954,9,71,,10.2307/4108937
1954,9,517,,10.2307/4114538
1954,9,243,,10.2307/4114387
1954,9,376,,10.2307/4114406
1954,9,200,,10.2307/4108945
1954,9,558,,10.2307/4114550
1954,9,562,,10.2307/4114554
1954,9,414,,10.2307/4108807
1954,9,440,,10.2307/4108818
1954,9,535,,10.2307/4114544
1954,9,426,,10.2307/4108816
1954,9,575,,10.2307/4114557
1954,9,45,,10.2307/4108927
1954,9,495,,10.2307/4108831
1954,9,411,,10.2307/4108804
1954,9,261,,10.2307/4114391
1954,9,412,,10.2307/4108805
1954,9,563,,10.2307/4114556
1954,9,579,,10.2307/4114558
1954,9,73,,10.2307/4108938
1954,9,201,,10.2307/4114384
1955,10,61,,10.2307/4113913
1955,10,565,,10.2307/4113758
1955,10,377,,10.2307/4109231
1955,10,293,,10.2307/4108870
1955,10,371,,10.2307/4109229
1955,10,369,,10.2307/4109226
1955,10,571,,10.2307/4113764
1955,10,89,,10.2307/4113917
1955,10,370,,10.2307/4109227
1955,10,469,,10.2307/4109239
1955,10,45,,10.2307/4113909
1955,10,110,,10.2307/4113926
1955,10,296,,10.2307/4108872
1955,10,591,,10.2307/4113771
1955,10,454,,10.2307/4109234
1955,10,455,,10.2307/4109235
1955,10,467,,10.2307/4109237
1955,10,569,,10.2307/4113762
1955,10,570,,10.2307/4113763
1955,10,567,,10.2307/4113761
1955,10,357,,10.2307/4109222
1955,10,376,,10.2307/4109230
1955,10,99,,10.2307/4113921
1955,10,297,,10.2307/4108873
1955,10,107,,10.2307/4113925
1955,10,496,,10.2307/4109244
1955,10,141,,10.2307/4113933
1955,10,573,,10.2307/4113765
1955,10,321,,10.2307/4109218
1955,10,292,,10.2307/4108869
1955,10,160,,10.2307/4113937
1955,10,630,,10.2307/4113778
1955,10,160,,10.2307/4113936
1955,10,586,,10.2307/4113767
1955,10,127,,10.2307/4113928
1955,10,58,,10.2307/4113911
1955,10,648,,10.2307/4113781
1955,10,100,,10.2307/4113922
1955,10,586,,10.2307/4113766
1955,10,415,,10.2307/4109233
1955,10,490,,10.2307/4109241
1955,10,494,,10.2307/4109243
1955,10,359,,10.2307/4109223
1955,10,631,,10.2307/4113780
1955,10,137,,10.2307/4113932
1955,10,370,,10.2307/4109228
1955,10,363,,10.2307/4109225
1955,10,193,,10.2307/4108865
1955,10,465,,10.2307/4109236
1955,10,626,,10.2307/4113776
1955,10,497,,10.2307/4113757
1955,10,351,,10.2307/4109219
1955,10,352,,10.2307/4109220
1955,10,587,,10.2307/4113768
1955,10,91,,10.2307/4113918
1955,10,610,,10.2307/4113773
1955,10,59,,10.2307/4113912
1955,10,362,,10.2307/4109224
1955,10,481,,10.2307/4109240
1955,10,130,,10.2307/4113929
1955,10,265,,10.2307/4108868
1955,10,221,,10.2307/4108866
1955,10,295,,10.2307/4108871
1955,10,34,,10.2307/4113907
1955,10,142,,10.2307/4113934
1955,10,136,,10.2307/4113931
1955,10,595,,10.2307/4113772
1955,10,92,,10.2307/4113919
1955,10,131,,10.2307/4113930
1955,10,319,,10.2307/4108874
1955,10,468,,10.2307/4109238
1955,10,627,,10.2307/4113777
1955,10,93,,10.2307/4113920
1955,10,590,,10.2307/4113770
1955,10,414,,10.2307/4109232
1955,10,610,,10.2307/4113774
1955,10,611,,10.2307/4113775
1955,10,57,,10.2307/4113910
1955,10,111,,10.2307/4113927
1955,10,491,,10.2307/4109242
1955,10,566,,10.2307/4113760
1955,10,143,,10.2307/4113935
1955,10,566,,10.2307/4113759
1955,10,353,,10.2307/4109221
1955,10,63,,10.2307/4113915
1955,10,83,,10.2307/4113916
1955,10,106,,10.2307/4113924
1955,10,62,,10.2307/4113914
1955,10,35,,10.2307/4113908
1955,10,264,,10.2307/4108867
1955,10,101,,10.2307/4113923
1955,10,590,,10.2307/4113769
1955,10,161,,10.2307/4108864
1956,11,153,,10.2307/4109401
1956,11,544,,10.2307/4109146
1956,11,182,,10.2307/4109415
1956,11,255,,10.2307/4109036
1956,11,184,,10.2307/4109417
1956,11,164,,10.2307/4109407
